sqft_living,price
1000,239900
1070,320000
1390,206600
2500,387000
560,299000
2270,855000
1900,315000
990,437500
1550,252000
2200,375000
1910,300000
1750,420000
1330,900000
2440,679900
1640,463000
2760,380000
1820,329500
2110,604950
3040,795000
1840,465000
2990,673000
3520,810000
2440,785000
2090,338000
1430,280000
2180,315000
2180,530000
3450,380000
1450,297000
3230,730000
1640,450000
1590,275000
2020,595000
1300,435000
1380,270000
4040,950000
2130,389000
2550,560000
4800,1350000
2510,799000
1410,365500
1650,252350
2120,403950
2040,385000
1550,345000
1980,490000
1600,330000
3300,927000
3840,1118000
1220,330000
2720,530000
1940,365000
2160,378750
1530,269900
1710,557000
3730,360000
940,352000
1750,437000
1820,322500
1510,650000
1290,450000
1570,278500
1930,364950
2840,840000
1550,268000
833,517534
2990,632925
2000,577500
2390,339000
2910,570000
2085,563500
2200,423000
1860,355000
6070,1550000
950,482000
1600,625000
2250,538000
2280,380000
940,375000
1530,245000
2190,310000
2350,1300000
1440,397000
2200,365000
2290,328500
4040,988000
2610,1000000
1490,237000
2450,525000
1710,749000
4870,722500
3130,843000
1270,438000
2120,578000
1670,227950
2070,196000
1420,641000
1250,350000
940,205000
1920,400000
3545,1030000
1260,505000
2340,475000
2590,520000
3970,1450000
1220,333500
1400,232000
2360,691100
1870,811000
2830,551000
2260,496500
1970,705000
3140,578000
1240,255000
3450,1050000
2570,348000
1510,230000
2390,359500
980,330000
430,80000
1480,465000
1850,325000
2270,340500
1810,342500
1610,290900
3840,868700
4110,1199000
4190,1150000
3390,859900
1890,520000
1610,460000
1050,438924
630,315000
2910,590000
1700,378500
1950,328500
2990,849950
1350,525000
4860,1385000
2160,295000
4860,1067000
890,207950
2810,699900
3400,1280000
1580,452000
1680,370000
1300,232000
2820,669950
1510,397500
1230,490000
2110,725000
3080,299000
1490,625000
2120,437500
3180,650000
1490,475000
1930,342000
2770,1197354
1670,280000
1330,240000
1210,529000
1190,442000
1540,615000
4030,1485000
2430,585000
2600,480000
4410,1095000
1330,290000
1900,615000
1100,300000
1980,308000
2400,750000
4760,2250000
3180,890000
1190,288000
630,190000
2530,515000
1690,235000
940,275000
1240,727500
3040,650000
6050,1600000
1590,365000
2500,662000
1780,270500
1360,200000
4740,970000
1010,160000
1040,204000
1610,358000
1570,452000
1510,595000
1360,249000
1970,346900
5403,2125000
1560,280000
2320,318888
2120,530000
2120,375000
3350,910000
2380,782000
1070,259950
2300,315000
1320,215000
2180,705000
4380,1450000
1790,451000
750,261000
1300,396000
2990,725000
4640,1950000
1400,238000
2750,750000
2050,331500
2230,460000
2340,404950
2870,880000
4120,863000
2080,638700
1840,435000
1180,260000
2160,671500
1180,610000
1160,405000
1830,338900
3200,720000
2560,442000
2550,650000
1330,263500
1220,300000
1805,266000
6050,930000
2320,530000
1384,180000
2720,619000
1820,264000
2130,730000
2060,439000
1420,268500
1510,330000
2160,640000
3180,900000
2110,370000
2060,685000
1830,505000
1820,265000
1610,290000
1780,296000
1840,360000
1460,240500
1400,372500
3370,595000
3590,515000
3200,1220000
1670,507000
2420,399950
1430,185000
1440,460000
1450,435500
3550,469000
1270,531000
940,443500
1670,223000
3100,590000
1100,340000
1870,650000
1930,533600
2540,695000
1280,242000
1820,425000
1490,525000
1880,485000
1250,175000
1440,210000
1920,260000
2060,577000
1210,200000
1760,605000
990,325000
960,289500
1660,559950
1900,1042500
1270,543500
3250,480000
960,218000
1330,565000
2080,426700
2690,650000
890,542000
1070,415000
1200,214000
1360,245000
2050,314500
3000,1120000
1300,378000
2250,305000
3740,595000
1660,729500
2360,430000
1760,240000
1680,545000
1320,530000
870,157000
1260,425000
1000,220000
2020,521000
1920,325000
2150,597500
1470,337000
3180,1000000
3930,3070000
990,495000
2770,748000
1250,888000
1140,269900
2250,496500
1640,475000
1255,312000
1290,323000
1300,331000
1220,306000
2630,655000
1950,290000
3160,1250000
1550,460000
1700,435000
2510,664000
1800,865000
1800,385000
1870,497000
1010,280000
1120,188000
2090,478500
4370,1145000
1440,222000
2580,799000
3190,609900
2380,413000
1420,400000
2990,802541
2680,320000
2730,507000
1220,387500
1500,396000
1830,373000
4570,1484900
2470,359900
800,410000
2900,690000
1410,245000
2830,700000
1680,268000
1760,225000
2240,980000
1380,795000
820,195000
2180,480000
1400,485000
880,130000
1060,325000
1530,440000
2480,550000
1490,310000
3660,530000
2340,390000
1450,243000
2210,639000
1130,215000
1550,405000
1710,250000
1010,405500
2660,452000
2660,730000
1300,267000
1670,289950
960,565000
4670,1578000
2140,636000
2520,350000
1650,320000
1440,210000
1050,245000
1470,328000
4230,985000
1970,501000
1540,315000
2090,403000
2380,550000
2156,347500
2070,365000
1910,588000
1920,605000
3400,1300000
1400,233000
2210,360000
1170,459000
2100,740000
1160,305000
1500,395000
2940,560000
2010,650000
2170,449950
1430,517500
1510,435000
1150,329999
2150,950000
1370,447000
2380,699800
1370,850000
1600,316500
3750,942500
3950,1310000
2400,856600
2830,405600
2440,565000
1190,400000
1400,330000
2730,374950
2390,405300
2060,560000
2490,824000
1100,260000
2430,760000
3170,405000
2640,429900
1130,341500
1940,465250
1100,450000
1200,390000
2000,420000
1890,269950
1910,493000
2710,370000
4860,2250000
1250,305000
1590,400000
1240,320000
2000,715000
3610,650000
1930,218000
1280,500000
2090,460000
1940,232500
1800,408200
1730,522000
2810,675000
3550,1355000
1330,249950
750,210000
1760,429950
3200,737500
1740,710000
2100,470000
4270,1100000
1340,650000
3190,1216000
1630,422120
2990,625000
1550,385200
1690,500000
1960,308000
2390,565000
2600,581000
1950,361000
1250,345000
1180,419000
1680,347000
2220,625000
4890,2400000
2660,379000
1150,310000
1130,250000
2760,682000
1430,246500
1490,325000
2030,310950
3010,1100000
1810,287500
1810,431000
970,226000
2010,825000
1300,175000
1260,465750
2610,659000
1910,595000
1780,350000
1900,270000
2450,662500
1380,249900
1920,324500
1350,430000
1350,419950
2510,285000
2470,332000
1660,282000
1340,320000
1620,428750
2300,330000
2000,456500
1640,352000
1530,664000
4000,628000
1610,512000
2070,254000
1900,535800
1050,287653
1520,438000
2390,450000
2400,327000
1790,370500
1720,265000
2980,450000
1520,425000
1150,166600
380,245000
910,565000
1650,539900
2480,910000
2050,280000
1420,275000
3460,467000
1500,457500
1320,381156
2180,289999
1830,642450
1620,469950
2920,795000
3300,785000
3060,860000
3064,1095000
1530,147500
1910,390000
1020,229000
1150,185000
1260,414900
1920,200000
1800,225000
2040,720000
2200,930000
3200,1270000
2400,700000
1140,466000
1330,374000
1940,480000
3000,740000
1820,1010000
2910,395000
1090,340000
1230,209000
1710,431650
3160,980000
2680,660000
2190,730000
1260,291500
2970,905000
2570,800000
3810,839900
1010,200000
1480,300000
1250,530000
1654,314950
1410,255000
2160,550000
1400,435000
1420,234000
2500,615000
1410,205000
2100,384000
1750,324000
2070,645000
1570,570000
1920,324000
1000,270000
2120,290000
1440,250000
1660,342000
1340,255000
2380,800000
1560,451000
2780,990000
1860,288400
2390,420000
1370,359000
2570,390000
1320,300000
2520,545000
1250,288349
1560,299900
2330,891000
3660,1200000
2790,378000
1060,299995
2020,253000
1580,350000
2020,565000
970,315000
1490,570000
4390,971000
2750,915000
2150,419000
1810,260000
2230,1321500
2430,369950
3680,1029900
1410,435000
1330,601000
1490,460500
2020,720000
3130,851000
2670,550000
1980,700000
2100,323000
1350,345500
2140,378000
2208,650000
1010,385000
970,425000
1520,210000
2740,630000
1570,335000
1320,196500
2550,582800
1560,440000
2360,752500
1330,532500
1070,265000
1510,397500
1710,524250
2790,765000
2620,648000
2970,469500
1050,237500
1280,216000
1030,427200
1900,280000
3070,718000
1760,420000
930,379000
880,326100
1360,535000
2130,283000
1480,260000
1500,399000
1670,484950
2060,640000
2160,585000
2780,645000
1490,253000
740,178500
1860,291000
1590,199950
850,553500
1030,189950
1850,289000
1830,700000
1560,270000
1730,258000
1930,530000
1422,245000
1380,563000
2430,515000
2610,325000
2000,540000
920,280300
1750,460000
2020,475000
2460,900000
1780,538200
1080,429000
1250,164808
1870,520000
1700,475000
1480,283000
1930,321500
3130,840000
1370,287000
960,375000
1260,349500
1480,446450
1930,315000
870,271310
1300,315000
1490,245000
1380,543115
1190,900000
4250,2450000
1920,554000
2080,249900
3220,768000
3680,980000
2070,395000
1480,415000
2000,380000
1560,566000
1600,218500
1940,550000
1540,512031
820,197500
1780,470000
1560,590000
2210,465000
2040,499000
1920,515000
1930,716500
1700,410000
3450,850000
3440,1050000
2380,648000
2400,620000
5670,935000
1140,379000
1670,699000
1910,528000
1560,425000
1500,249500
4475,1035480
2840,790000
1020,399950
1410,275000
1520,550000
730,140000
1190,250000
1410,318000
1240,505000
2500,470500
1050,360000
2680,1242500
2380,986000
1060,515000
2300,320000
2010,310000
1090,356700
2320,775000
1040,325000
1810,208000
1150,825000
2360,515000
1970,490000
2690,675000
2080,360000
2080,550000
1370,225000
3410,500000
1850,385000
3010,837700
1530,448000
2690,730000
2810,575000
1810,430000
1560,435000
1010,241000
1000,453500
990,285000
720,151000
6070,1570000
2270,631000
1380,285000
1260,195000
2910,817500
1810,550000
3160,1127000
1910,609850
1230,200000
2960,367000
2200,285167
1270,275000
2540,350900
3030,660000
1520,525000
1560,262000
970,690000
3570,624000
1350,353000
3710,552500
1430,224500
940,239000
4300,975000
3990,1200000
1380,505000
2020,302000
1480,170000
1190,195000
2550,272000
2550,369000
1500,332500
3000,515000
1690,269000
4390,1278000
1560,303000
2940,420000
1130,400000
1020,225000
1310,219000
2570,605000
2020,625000
1680,380000
1770,620000
3190,687500
1440,225500
1150,252500
1860,510000
2430,510000
1940,725000
670,75000
880,492000
1930,425000
3120,1955000
1830,298900
3230,699000
700,310000
1010,350000
2460,790000
2230,305000
1570,315000
2390,267500
3460,1750000
2400,435000
2940,482500
8010,5110800
1570,439995
1520,460000
1070,194000
440,290000
2440,274700
2660,900000
4460,1150000
2010,605000
1450,359000
1400,850000
1500,505000
2500,565000
1280,585000
3380,328000
2910,749950
3060,826000
1330,535000
3300,925000
3250,875000
2530,902000
1830,423000
1170,235000
2930,545000
1230,343000
1620,334950
1760,405000
1440,220000
1740,173000
1270,655000
880,406000
2560,632000
1540,357000
1150,361000
770,277000
4610,630000
1850,254000
1840,472800
1490,263000
1490,510000
960,179950
1580,525000
1260,479000
1940,651000
2490,949000
2520,392400
1760,585000
4190,460000
1170,470000
1600,245000
2760,500000
2090,455000
2320,485500
4110,1875000
770,100000
1410,307000
3660,475000
2180,330000
1110,130000
2280,320000
2820,735000
1570,365000
1200,234000
1710,211000
3000,680000
2800,457000
1640,349000
2030,360000
2530,350000
990,208000
790,250275
790,435000
1800,270000
1650,438000
1980,659000
2340,645000
2790,685100
2800,350000
1840,375000
1350,170000
3030,880000
1980,410500
3690,780000
3732,1225000
1510,449000
2000,546000
1760,317000
1270,276900
2620,399000
2630,495000
2270,258000
2410,600000
1120,265000
3030,321000
2120,682000
1720,295700
2150,609000
4380,995000
2010,530000
3150,614000
2500,390000
1690,467000
3300,484000
1240,340000
2200,302495
1620,532500
2420,441500
2680,470000
4250,2300000
2400,590000
2300,320000
920,363000
2350,747500
2630,750000
2170,831000
1700,403000
2470,445000
1250,345000
3110,2260000
1530,371025
960,355000
1240,270000
2440,425000
2320,364808
1580,320000
2963,325000
2470,350000
1370,170000
960,255000
1130,550000
4930,835000
1150,420000
2190,925000
1490,389250
2600,748000
1530,284000
1680,588000
1680,372500
1900,285000
1570,360000
1370,275000
1350,428000
3010,847000
1010,316000
2050,375000
1670,533000
3840,556000
2220,225000
2590,537250
1180,255000
2950,530000
7390,5300000
2150,595000
2100,548000
1650,234975
1620,600000
1750,432000
1380,455000
1510,279950
1600,267500
1840,620000
830,110000
1810,625000
910,389000
2120,1200000
2510,788500
2100,567000
2690,515000
2430,605000
2452,430000
1550,805000
2080,567500
1290,647500
1850,495000
3370,825000
2730,435000
1300,445950
3040,960000
2440,780000
1720,274500
3230,729953
1200,464950
2350,620000
3100,735000
2040,450000
2000,450000
2160,842500
1970,360000
2270,585000
1850,461000
1350,345000
3280,1075000
2270,643000
2820,690000
1200,282000
2000,549000
2310,815000
4640,2200000
2330,700000
3940,933399
1440,290000
1960,372000
1250,450000
1981,303700
2440,672000
1150,334000
1120,260000
1800,749950
2380,330000
2920,830000
2790,1131000
1560,320000
1550,260000
1700,225000
640,279200
2680,520000
1860,505000
1490,234000
2470,503000
2390,606000
1230,433500
2840,250000
2120,719000
1770,381000
2495,267000
1170,275000
2740,651000
1050,439000
1130,325000
880,490000
2403,519900
3410,545000
5320,1062500
1900,542000
1810,465000
1200,408000
2060,292000
1250,253000
910,280000
2560,658588
1920,635000
2240,439000
1260,300000
1360,345000
2100,283500
2110,425000
2210,685000
2360,750000
1280,245000
2740,585444
2740,706000
2630,445000
1650,241000
1770,1175000
1500,530000
1430,350000
3190,1700000
1280,389000
2390,799000
4040,1400000
920,340895
2730,780000
1320,350000
2620,470000
3180,914600
2900,354000
1900,470000
1760,715000
760,265000
3710,2537000
1530,640000
1990,290000
3830,480000
2040,535000
2170,907000
1620,459000
3600,1355000
1470,264950
1760,352950
2230,491500
3770,1229000
1200,369500
2090,566000
1500,290000
8000,5350000
870,180000
1010,215000
1010,302000
1860,352500
1330,235867
1760,500000
1800,382000
1690,515000
660,250000
2400,672500
3020,755000
1500,707500
1560,459000
1090,140000
970,495000
3190,757000
3190,765000
1890,359000
1050,440000
1390,400000
1700,652000
1050,260000
3340,1328000
1540,519500
1710,650000
2100,280000
1730,515000
1500,400000
2380,652100
2180,235000
1840,701000
2341,640000
1690,455800
2490,504750
2440,483000
920,530000
1030,250000
2000,229950
4210,884744
1610,514000
1910,532000
2660,423000
820,420000
1730,521000
2360,577000
970,425000
2460,495000
2690,340000
1820,499950
3470,1218000
3370,720000
1700,249000
1340,206135
2000,300000
3840,612000
3890,1102030
1220,230000
2280,850000
2770,355000
2520,442000
3060,399000
2390,360000
1320,390000
2900,413000
700,190000
2210,432900
2180,621138
2080,270000
2090,610000
1720,500000
2460,715000
1470,264000
1650,550000
1690,337000
970,170000
2030,405000
2540,775000
1570,425000
2580,713000
2090,555000
3260,810000
3830,1250000
2130,819000
1690,409900
1780,935000
1620,657500
4210,900000
2980,932800
1490,391000
2110,420000
6563,1300000
1510,415000
1830,350000
1230,375000
2180,860000
2220,495000
1730,250000
1990,365000
1540,503000
1100,150000
1640,450000
2590,355000
1450,245000
1180,265900
1820,299000
2360,957500
1120,343000
1646,307500
4210,937500
2480,610000
1590,720000
2130,610000
1650,434500
3090,602500
2180,607010
1800,610000
3720,828500
1100,199990
1530,294000
3010,789500
3500,797000
3100,539950
2000,284950
2290,776500
2400,525000
1850,303000
3680,722080
1060,140000
1060,235000
1610,440000
2330,605000
1210,380000
1530,352000
2270,420000
2590,1175000
1850,1375000
1500,300000
4740,1150000
1710,453500
1920,443500
1150,332000
2320,655000
1420,475000
1550,372500
2920,1050000
1620,500000
2300,900000
1070,327500
1790,390000
1510,451101
1340,455000
3350,650000
2500,895000
2350,800000
2550,703770
1320,249950
1270,512000
3480,780000
2820,336000
2110,285000
1100,229900
1920,667500
1890,378000
2530,454000
2550,537500
1550,425000
1760,290000
1270,349500
1250,370000
1620,549500
710,245000
1070,208000
2320,248000
5450,610000
1670,550000
3010,750000
1340,192000
790,169317
3400,1198000
1530,880000
930,210000
1540,180500
1990,540000
2300,520000
1220,177500
2380,415000
2020,495000
1890,325000
1330,440000
1490,411000
3550,810000
2040,561750
2380,835100
1780,450000
1650,238000
1510,299000
1100,570000
2190,340000
1760,450000
1800,272750
2000,520000
990,284950
1480,255000
1200,231500
3000,415000
3504,330000
1300,365000
1330,425000
1850,400000
2240,335000
1260,342000
2800,490000
1820,331500
1730,960000
3350,720500
3370,830000
1240,662990
2340,220000
1880,349950
1810,550000
2340,396000
2820,635000
1020,293000
2090,339000
1830,285000
2980,775000
1600,224000
4440,2250000
1200,165050
1230,275000
2930,445000
2370,510000
3040,1230000
1610,390000
2350,460000
2000,700000
3530,874150
2220,470000
2000,374000
1210,510000
1140,467000
2440,576000
1560,196440
3210,825000
930,281000
1782,326000
1740,340000
3690,440000
2930,749000
1230,340000
2000,561000
1520,270000
1040,600000
1120,219900
3020,617000
1820,469000
1370,229000
3130,1265000
1640,365000
2650,429000
2850,550000
1820,453000
1180,187500
1880,520500
1280,300000
3120,799000
2470,338000
1700,800000
1180,360000
2800,442500
1300,700000
3040,830000
1630,360400
1340,345000
1830,300000
1240,350000
2500,368000
1760,264000
2660,435000
2060,200000
2540,620000
4830,1679000
1400,337000
4280,1928000
2230,544500
680,252000
2340,445000
2070,379500
1910,189950
950,469000
2910,600000
2930,785000
2610,372000
3880,445000
3320,508000
1940,780000
2510,541100
2660,729000
1710,397000
1320,451555
960,300000
1790,416000
950,490000
2940,480000
930,368000
4570,1038000
2370,545000
3430,850000
3540,550000
2240,600000
2710,535000
2660,599950
2540,531000
2210,530000
3570,597326
3450,805000
2330,390000
1690,487250
1030,301000
2560,1175000
1950,299000
4370,2350000
2350,400000
3160,467500
2430,305000
1340,210000
1010,300000
1770,327500
1210,269000
3330,975000
1240,355000
1250,712000
2960,883000
840,190000
1530,443000
3750,920000
2150,285000
1560,901000
2040,552500
860,256000
1720,341000
2090,279000
2130,686000
1300,225000
1220,215500
2420,950000
2940,503000
2610,780000
1880,212000
2330,580000
2200,465000
1720,206000
2250,615000
1640,519000
4130,1135000
2600,330000
1920,240000
2060,574000
5710,930000
2720,850000
1490,415000
2360,480000
1940,300000
2570,439000
1160,450000
2660,589000
1260,477000
1780,587500
3180,1315000
3380,1430000
2690,700000
1180,275000
1660,367500
2260,453250
1910,607000
2430,255000
1300,501000
1060,450000
2200,360000
1720,460000
2360,753000
820,389950
1030,469000
2030,550000
2700,565000
1100,189650
3620,1525000
1340,260000
1790,243000
3830,1100000
1580,249000
2020,720000
3330,905000
2610,824500
2610,762500
1740,580000
1840,380000
1080,805000
1240,520000
5620,1569500
1170,175000
1760,353500
2230,500000
1520,386500
1450,210000
1600,439500
3220,315000
1830,339000
2200,655000
2170,740000
1900,685000
2960,550000
1710,405000
2620,765000
2140,625000
2100,207000
2100,370000
1460,475000
990,365000
2190,411800
3990,668000
2340,618000
2460,247500
2080,345000
1700,616300
1330,348000
1630,425000
2920,850000
2830,820000
3190,832000
1490,835000
1630,350000
2280,349000
3010,1125000
1590,320000
1250,150000
1710,340000
3280,785500
3362,410500
2200,580000
830,345000
2160,550000
2580,449500
2150,300000
3510,915000
3810,1575000
2020,599000
2120,755000
1250,400000
980,133000
1250,330000
1100,330000
1330,375000
2560,485000
1850,470000
2790,1045000
1660,548800
1080,315000
3030,590000
2380,439950
2250,325000
880,400000
2770,685000
1340,339950
1660,315000
1710,411753
1620,577000
1530,500000
1440,210000
2020,640000
1870,460000
620,265000
5774,740000
1240,230000
1890,315000
2410,432000
1530,467000
2800,255000
1460,316500
1580,190000
1450,490000
1990,378000
4470,598800
1980,333800
2920,690000
1660,320000
3190,1249000
1560,335000
3050,840000
3030,608250
2260,550000
1260,240000
3370,998000
1490,275000
1570,284200
4490,1715000
4090,2400000
4150,930800
2900,930000
1430,215000
1008,480000
1480,483945
1240,347000
1370,232500
1770,390000
2160,550000
2340,590000
960,420850
2280,345000
1970,429800
1530,302000
1790,800000
1700,250000
2660,605000
1950,412000
1340,252000
1130,375000
1950,725000
3790,471750
2020,490000
800,439000
1770,355000
940,250000
2260,780000
890,409000
860,420000
680,200000
2130,830000
2390,695000
3488,815000
1260,210000
2940,635000
2440,562500
2600,402500
2080,555000
1990,310000
2840,500000
2630,430000
2820,1600000
1560,627500
2330,335000
3320,962000
1730,299000
3110,399950
1230,322000
950,430000
1890,307000
1010,194000
1010,180000
2340,465000
2460,722500
1010,470450
1650,280000
1440,176250
1710,560000
2760,830000
1350,276900
1660,625000
2960,1015000
1090,463500
3110,485000
1380,272000
1290,305000
1980,760000
870,387500
2470,352000
2140,507000
770,156000
1490,580000
2510,630000
1950,275000
3600,835000
2380,340000
720,329350
4070,1480000
1250,475000
2190,719950
810,235000
2440,875000
1740,380000
1480,325000
2120,475000
900,152900
1190,210000
1010,350000
2100,505000
2020,464900
2520,650000
1370,369950
1530,250000
1530,320000
5040,2532000
2530,340000
1010,440000
1200,219950
2720,940000
1850,399950
2340,1568000
1860,528000
1940,545000
1680,575000
1770,235000
1790,272000
1720,380000
1280,195000
1690,297000
2190,349000
710,320000
1890,319990
1410,439900
2210,429000
1540,272500
1350,400000
1380,462000
890,510000
1900,550000
1240,150000
1730,460000
2090,632500
1650,361000
1130,437000
3240,370000
3840,884250
1200,225000
870,235000
2410,767500
1560,1200000
2410,715000
2300,417000
1390,199000
2920,875000
1370,545000
950,192500
3090,822500
2390,800000
2070,1250000
5770,3850000
1460,295000
1510,419000
5180,1195000
3430,750000
1700,502000
2640,1025000
1200,398500
1850,700000
1510,248000
2130,800000
2640,383000
3000,688000
1870,521000
990,365000
2005,491000
2030,643000
1500,279000
1530,583500
1990,310000
1420,310000
1400,280000
1870,272000
3040,870000
1790,307000
1590,490000
2050,399950
4220,1635000
4030,989000
1770,264950
2100,491500
2120,345000
2600,339900
2400,852000
3180,585000
2790,723000
2080,594000
1370,405000
2790,725500
1740,800000
6400,1325000
1800,180500
1800,325000
1190,235000
860,330000
2460,678500
1980,463000
670,250000
1410,655000
1860,239900
980,185000
3040,1735000
1810,251700
1560,400000
2100,735000
2500,1700000
520,82500
3010,765000
2140,292500
2390,270000
1510,415000
2210,950000
2170,353000
1790,670950
1390,280950
1850,585000
1480,525000
1850,605000
3350,1010000
1040,245990
2810,535000
1010,410000
2250,550000
1800,665000
2400,455000
1780,440000
2120,332000
1860,280000
1460,570000
1230,250000
1088,238000
800,265000
1190,306000
1940,345000
3300,765000
2590,346300
2080,342500
2680,501000
1670,270000
1830,638000
1400,460000
2770,760000
3630,1085000
1040,234000
2690,1650000
2020,488000
2450,1550000
2030,499000
1450,150000
2400,333000
2870,700000
1340,275000
1680,330000
1850,360000
1220,467000
2320,568000
3220,605000
3190,750000
3530,760000
2050,265000
1720,490000
2850,360000
2270,311750
1880,399000
2770,347000
4490,1680000
3110,585000
2360,340000
2180,612000
1910,230000
2260,604000
1770,250000
1460,258500
2080,783000
2960,1050000
3220,760000
1140,276000
1660,550000
1430,398000
1820,775000
3540,1027500
1620,327000
3100,564500
1500,782000
2820,398000
1850,257000
1570,235000
2300,453000
920,535000
1600,275000
2630,665000
3020,670000
1490,465000
1160,210000
2040,265000
1550,426000
1990,529219
1900,600000
3840,875000
2400,608000
1660,220000
6055,1760000
2030,295450
840,315000
1450,205000
1460,310000
2010,1000000
2910,525000
1880,284000
2170,510000
1260,405000
1970,509950
2090,600000
3450,990000
1130,280005
2600,700000
1030,330000
1700,340000
1480,468000
4250,1339000
1600,515000
1870,245000
1440,265000
2720,372400
1240,390000
1020,208000
1180,273000
3080,455000
1750,270000
2530,618000
1580,213550
2340,210000
6300,2750000
2400,403500
1300,235000
1760,287500
1520,546800
1070,183000
2560,560000
1280,299500
1660,610000
1860,288350
950,500000
2140,625000
1480,418000
2260,660000
2300,775000
1650,429500
1990,569000
1960,250000
1310,225000
2450,530000
910,306000
1580,517100
1780,354950
1040,348000
2340,522250
1720,275000
1600,390000
1320,260000
2350,585000
2740,605000
2300,342000
4350,900000
1430,252000
2400,357000
940,370000
1020,322500
1680,210000
1340,290000
3960,860000
2650,302000
2120,369160
2850,1185000
2850,993000
1870,380000
2660,635000
1190,260000
1770,243000
2770,1400000
2080,665000
2700,898000
2200,583000
2160,429000
2010,471000
3780,1810000
4460,739500
1770,450000
1430,552500
1700,437000
1830,270000
1410,226740
